iter	RMSE
0	42.11761279
1	41.86786705
2	41.62610157
3	41.57965241
4	41.57847844
5	41.51966695
6	41.33004729
7	41.27527106
8	41.07214309
9	41.05261277
10	40.83074776
11	40.82545286
12	40.66350173
13	40.65637297
14	40.60556618
15	40.53632458
16	40.51357924
17	40.41135417
18	40.39208049
19	40.3701179
20	40.32941247
21	40.31792297
22	40.27948643
23	40.11961429
24	40.11961419
25	39.97742056
26	39.94814692
27	39.9240673
28	39.90281605
29	39.77560395
30	39.77560391
31	39.7635608
32	39.7384494
33	39.72786268
34	39.72682313
35	39.70869512
36	39.70265682
37	39.68465123
38	39.55934976
39	39.50710079
40	39.46510401
41	39.37040148
42	39.33062424
43	39.17930712
44	39.0410957
45	39.02792461
46	39.02635113
47	38.99934655
48	38.98292664
49	38.94527532
50	38.93557478
51	38.91910997
52	38.82816725
53	38.79950809
54	38.72013176
55	38.70390142
56	38.59433757
57	38.49595553
58	38.49208011
59	38.42036526
60	38.41473021
61	38.41169293
62	38.39970774
63	38.3893324
64	38.38462553
65	38.38101717
66	38.38010738
67	38.32225858
68	38.21681254
69	38.20492183
70	38.19966025
71	38.13097214
72	38.12429887
73	38.11756641
74	38.0663026
75	38.04629807
76	38.00610917
77	38.0031579
78	37.9937594
79	37.98754395
80	37.97506129
81	37.97324232
82	37.96895028
83	37.96617226
84	37.95955843
85	37.87646235
86	37.87646221
87	37.80379051
88	37.73872179
89	37.72896305
90	37.70260188
91	37.69135925
92	37.66656885
93	37.59454858
94	37.54212544
95	37.5383629
96	37.51252758
97	37.49215468
98	37.48821609
99	37.47376013
100	37.46595498
101	37.4578391
102	37.44363838
103	37.44202654
104	37.43176151
105	37.43028315
106	37.42505665
107	37.41463073
108	37.3743485
109	37.36807865
110	37.33686192
111	37.33125126
112	37.3264402
113	37.32371264
114	37.32050807
115	37.31605229
116	37.31490209
117	37.30788257
118	37.29885269
119	37.2578508
120	37.24799154
121	37.19909027
122	37.1933622
123	37.19286885
124	37.19271518
125	37.18745082
126	37.18138477
127	37.17799869
128	37.17073705
129	37.16944743
130	37.16107299
131	37.14948412
132	37.11891202
133	37.10124549
134	37.09697957
135	37.0544867
136	37.0380431
137	37.02629871
138	37.02319473
139	36.99991947
140	36.99496424
141	36.98971195
142	36.98940774
143	36.98455235
144	36.98091177
145	36.97183352
146	36.96816181
147	36.96293116
148	36.95449529
149	36.94607215
150	36.94475845
151	36.92430256
152	36.90318041
153	36.89966095
154	36.89614734
155	36.89500579
156	36.89216527
157	36.88753896
158	36.8836572
159	36.87615059
160	36.87010357
161	36.86982008
162	36.86971508
163	36.85309745
164	36.84308753
165	36.83215736
166	36.79942087
167	36.79296038
168	36.78618269
169	36.78561301
170	36.7794958
171	36.77858663
172	36.75241296
173	36.72911522
174	36.72192131
175	36.70645805
176	36.7021662
177	36.6661605
178	36.66156761
179	36.63016449
180	36.62792625
181	36.61667581
182	36.60480893
183	36.60464434
184	36.59815164
185	36.59611732
186	36.59073152
187	36.58114061
188	36.57255649
189	36.55858308
190	36.54944396
191	36.52811859
192	36.52442103
193	36.51038086
194	36.50773141
195	36.50138622
196	36.49705051
197	36.4953009
198	36.49427965
199	36.48711377
200	36.48561587
201	36.4816623
202	36.4739165
203	36.47252638
204	36.46694379
205	36.45916105
206	36.4589837
207	36.45108525
208	36.45028839
209	36.44834083
210	36.44270033
211	36.43875305
212	36.42535652
213	36.42240253
214	36.42219425
215	36.41902535
216	36.41517665
217	36.40422579
218	36.4010075
219	36.38424832
220	36.3815264
221	36.38002403
222	36.37788143
223	36.37673791
224	36.37335486
225	36.36826514
226	36.3586202
227	36.35800917
228	36.35751118
229	36.34712961
230	36.34611582
231	36.34465509
232	36.33856165
233	36.33319389
234	36.32242629
235	36.30691514
236	36.29969332
237	36.28525736
238	36.28213096
239	36.27568936
240	36.27271838
241	36.27214209
242	36.26540338
243	36.26200755
244	36.2504766
245	36.24552009
246	36.24260532
247	36.23561283
248	36.2318567
249	36.23068348
250	36.22670165
251	36.21735368
252	36.21187099
253	36.20674553
254	36.20486289
255	36.20105827
256	36.19639137
257	36.18963199
258	36.18616441
259	36.18373608
260	36.17704707
261	36.17620456
262	36.17554233
263	36.15412049
264	36.14910817
265	36.13767699
266	36.13327934
267	36.13113018
268	36.12901016
269	36.1282874
270	36.12326899
271	36.11467596
272	36.11222222
273	36.0956759
274	36.09385778
275	36.08683227
276	36.08476411
277	36.07552437
278	36.07085224
279	36.06513185
280	36.06306991
281	36.05352863
282	36.04846003
283	36.04502305
284	36.03938068
285	36.03771838
286	36.03709898
287	36.03257673
288	36.02577699
289	36.02329683
290	36.01431849
291	36.00647064
292	36.00573068
293	36.00130097
294	35.99976501
295	35.99574663
296	35.9899013
297	35.98683101
298	35.98420871
299	35.97856148
300	35.97612809
301	35.97599879
302	35.96572245
303	35.96273331
304	35.95807363
305	35.95556011
306	35.94576244
307	35.94289075
308	35.93954011
309	35.93674994
310	35.93116999
311	35.92865489
312	35.92782
313	35.9237643
314	35.92192783
315	35.91444803
316	35.91147171
317	35.90928752
318	35.90400273
319	35.90371918
320	35.89841959
321	35.89484478
322	35.89204917
323	35.88449001
324	35.88285128
325	35.88121219
326	35.87951097
327	35.87400901
328	35.86960815
329	35.86702045
330	35.86484909
331	35.86387588
332	35.86109116
333	35.85789254
334	35.85567535
335	35.85422175
336	35.85236531
