iter	RMSE
337	35.84941317
338	35.84680148
339	35.83696946
340	35.83542601
341	35.83494487
342	35.83118758
343	35.82773825
344	35.82643264
345	35.81902175
346	35.81844229
347	35.81552556
348	35.8142614
349	35.81381827
350	35.81357238
351	35.81324085
352	35.81151148
353	35.80879612
354	35.80868206
355	35.80449078
356	35.80107537
357	35.80079976
358	35.79663827
359	35.78987592
360	35.78668097
361	35.78491614
362	35.78182205
363	35.78057214
364	35.78046235
365	35.77952161
366	35.77922765
367	35.77887221
368	35.77449576
369	35.77072584
370	35.76961304
371	35.76575221
372	35.76472401
373	35.76004435
374	35.75535305
375	35.75463227
376	35.75361595
377	35.74800351
378	35.74755031
379	35.74463503
380	35.74362261
381	35.74223196
382	35.73889082
383	35.73213052
384	35.72544488
385	35.72221778
386	35.72085285
387	35.7208184
388	35.7164469
389	35.71641531
390	35.71407007
391	35.7096916
392	35.70622762
393	35.7044736
394	35.70336561
395	35.70068283
396	35.69899166
397	35.69795209
398	35.69637674
399	35.69518653
400	35.69443036
401	35.68865092
402	35.68520801
403	35.68482901
404	35.66981836
405	35.66836754
406	35.66579452
407	35.66461045
408	35.66242204
409	35.65966123
